Unnamed: 0,MODE,sv,sw,gc_dist,r_dist,temp_cntl,export,hazmat,wgt_factor,sctg,naics,orig_state,orig_state_full,states_code_o,orig_ma,dest_state,dest_state_full,states_code_d,dest_ma,sctg_n
5233,3,3695,61,10,1414,0,1,0,720.7,37,336,4,Arizona,AZ,38060,4,Arizona,AZ,38060,8
5234,3,70442,45,2053,2362,0,0,0,63.6,37,333,4,Arizona,AZ,38060,42,Pennsylvania,PA,428,8
5235,4,1157,2,957,2196,0,1,0,128.1,37,4238,12,Florida,FL,370,48,Texas,TX,288,8
5236,3,1555,3,1744,2021,0,0,0,80.7,37,332,6,California,CA,348,17,Illinois,IL,176,8
5237,2,2178,3,51,60,0,0,0,404.7,37,332,53,Washington,WA,500,53,Washington,WA,500,8
5238,3,171,10,1240,1400,0,0,0,25.2,37,326,10,Delaware,DE,428,40,Oklahoma,OK,416,8
5239,3,2158,3,736,946,0,0,0,135.2,37,333,33,New Hampshire,NH,148,39,Ohio,OH,178,8
5240,3,524,3,1248,1648,0,0,0,394.4,37,332,4,Arizona,AZ,38060,19,Iowa,IA,99999,8
5241,1,10202,38,2356,3021,0,0,0,80.6,37,336,53,Washington,WA,440,36,New York,NY,99999,8
5242,3,20,1,699,985,0,0,0,309.7,37,336,17,Illinois,IL,476,48,Texas,TX,288,8
5243,1,3791,21,10,12,0,0,0,162.9,37,332,17,Illinois,IL,176,17,Illinois,IL,176,8
5244,1,2143,21,486,576,0,0,0,93.1,37,336,24,Maryland,MD,12580,18,Indiana,IN,294,8
5245,3,977,1,368,388,0,0,0,3160.6,37,336,4,Arizona,AZ,38060,6,California,CA,348,8
5246,3,3012,35,1140,1291,0,0,0,53.1,37,335,6,California,CA,348,48,Texas,TX,41700,8
5247,3,5269,2,776,1021,0,0,0,161.2,37,4238,12,Florida,FL,370,22,Louisiana,LA,99999,8
5248,2,1998,30,4,4,0,0,0,1174.9,37,332,40,Oklahoma,OK,538,40,Oklahoma,OK,538,8
5249,4,3595,232,2408,2427,0,0,0,1825.6,37,4238,42,Pennsylvania,PA,428,6,California,CA,348,8
5250,3,15124,56,10,1673,0,1,0,318.9,37,332,6,California,CA,348,6,California,CA,348,8
5251,3,899,5,1922,2151,0,0,0,78.9,37,334,42,Pennsylvania,PA,428,49,Utah,UT,482,8
5252,3,951,4,2122,2447,0,1,0,69.9,37,4238,37,North Carolina,NC,172,6,California,CA,348,8
5253,3,35222,10,1100,1419,0,0,0,88.6,37,336,20,Kansas,KS,556,6,California,CA,99999,8
5254,3,4473,6,180,1179,0,1,0,14.1,37,336,32,Nevada,NV,99999,6,California,CA,488,8
5255,1,17158,59,828,979,0,0,0,52.3,37,336,42,Pennsylvania,PA,430,12,Florida,FL,422,8
5256,4,323,21,1327,1419,0,0,0,98.4,37,4238,20,Kansas,KS,556,6,California,CA,488,8
